Mice,Rabbits
335.14,23.07
19.76,46.83
359.9,23.39
322.36,37.28
325.5,18.67
21.73,37.55
20.05,16.31
317.58,20.93
310.19,28.1
254.79,25.72
18.63,45.24
263.47,58.62
317.99,17.08
