Time,Grass,Mice,Rabbits,Hawks
8,2630,619,434,121
16,3491,684,418,158
24,3385,421,212,196
32,3461,197,144,205
40,3478,83,123,193
48,3338,37,110,188
56,3397,29,76,182
64,3529,17,53,166
72,3470,21,34,153
80,3406,11,22,141
88,3355,15,14,127
96,3491,31,10,111
104,3412,38,11,97
112,3492,58,6,88
120,3343,82,6,82
128,3435,79,8,74
136,3444,112,8,65
144,3455,183,6,60
152,3407,236,11,54
160,3345,297,5,52
168,3516,386,5,48
176,3345,501,13,46
184,3435,535,11,40
192,3507,481,13,37
200,3393,459,8,34
208,3336,424,16,33
216,3538,446,20,26
224,3384,426,9,23
232,3458,454,9,21
240,3407,473,8,19
248,2630,633,9,15
256,1545,721,9,12
264,373,787,8,8
272,517,812,5,7
280,259,903,5,7
288,31,867,4,3
296,26,660,2,2
304,23,632,2,2
312,24,587,0,2
320,18,535,0,2
328,23,466,0,2
336,33,341,0,2
344,34,291,0,2
352,36,277,0,1
360,36,272,0,1
368,33,290,0,1
376,36,282,0,1
384,31,298,0,1
392,38,304,0,1
400,29,309,0,1
408,34,312,0,0
416,24,321,0,0
424,16,296,0,0
432,29,289,0,0
440,34,275,0,0
448,29,274,0,0
456,38,288,0,0
464,31,276,0,0
472,27,256,0,0
480,38,266,0,0
488,47,265,0,0
496,45,269,0,0
504,69,265,0,0
512,125,265,0,0
520,277,250,0,0
528,628,252,0,0
536,204,329,0,0
544,41,351,0,0
552,38,352,0,0
560,48,360,0,0
568,28,355,0,0
576,32,362,0,0
584,32,367,0,0
592,30,318,0,0
600,22,276,0,0
608,24,249,0,0
616,52,239,0,0
624,83,238,0,0
632,60,259,0,0
640,56,252,0,0
648,49,268,0,0
656,25,280,0,0
664,22,292,0,0
672,38,286,0,0
680,51,296,0,0
688,38,280,0,0
696,54,282,0,0
704,67,286,0,0
712,66,285,0,0
720,47,293,0,0
728,53,298,0,0
736,43,309,0,0
744,28,312,0,0
752,33,309,0,0
760,38,295,0,0
768,32,287,0,0
776,41,277,0,0
784,52,264,0,0
792,46,266,0,0
800,39,257,0,0
