Time,Grass,Mice,Rabbits,Hawks
8,2613,574,448,120
16,3480,582,390,161
24,3481,355,280,192
32,3358,216,160,208
40,3488,141,134,203
48,3339,74,83,197
56,3425,47,71,184
64,3517,34,47,174
72,3406,26,41,162
80,3540,19,22,147
88,3416,38,22,139
96,3357,32,17,128
104,3334,18,13,116
112,3493,33,12,103
120,3427,28,14,96
128,3351,40,12,84
136,3371,93,14,81
144,3355,135,8,75
152,3361,159,5,69
160,3446,176,14,65
168,3420,255,23,56
176,3469,285,80,50
184,3416,351,111,48
192,3576,544,57,47
200,3423,608,47,46
208,3551,722,66,39
216,3355,895,38,40
224,3458,1023,23,29
232,3391,1048,12,25
240,3534,1134,8,24
248,2414,1046,9,22
256,810,945,12,15
264,63,881,14,14
272,32,763,10,10
280,60,692,9,11
288,53,624,5,11
296,89,546,3,11
304,41,479,3,9
312,70,373,1,8
320,131,354,1,6
328,190,371,0,4
336,348,376,0,4
344,273,437,0,4
352,48,481,0,3
360,81,468,0,3
368,51,480,0,3
376,28,455,0,3
384,16,441,0,3
392,25,394,0,3
400,26,344,0,2
408,24,326,0,2
416,36,303,0,1
424,23,293,0,0
432,45,280,0,0
440,93,284,0,0
448,127,302,0,0
456,123,336,0,0
464,175,342,0,0
472,39,361,0,0
480,48,355,0,0
488,28,360,0,0
496,33,348,0,0
504,35,318,0,0
512,39,306,0,0
520,51,303,0,0
528,49,308,0,0
536,39,330,0,0
544,57,327,0,0
552,45,336,0,0
560,39,327,0,0
568,36,321,0,0
576,32,319,0,0
584,36,303,0,0
592,32,303,0,0
600,33,288,0,0
608,35,271,0,0
616,38,271,0,0
624,41,265,0,0
632,63,281,0,0
640,29,305,0,0
648,30,293,0,0
656,54,287,0,0
664,34,312,0,0
672,41,316,0,0
680,45,306,0,0
688,40,297,0,0
696,46,292,0,0
704,51,293,0,0
712,54,287,0,0
720,52,302,0,0
728,51,308,0,0
736,47,302,0,0
744,61,299,0,0
752,45,316,0,0
760,40,315,0,0
768,36,313,0,0
776,45,304,0,0
784,38,297,0,0
792,39,284,0,0
800,43,260,0,0
