Time,Grass,Mice,Rabbits,Hawks
8,2697,560,460,121
16,3389,584,415,159
24,3341,445,301,192
32,3557,237,190,205
40,3421,128,108,205
48,3335,67,89,196
56,3422,40,77,189
64,3373,20,57,179
72,3495,19,43,161
80,3434,12,41,139
88,3404,6,23,130
96,3399,3,15,120
104,3536,2,20,103
112,3514,4,20,94
120,3485,6,16,84
128,3392,23,18,75
136,3489,35,25,68
144,3464,34,20,63
152,3352,47,28,60
160,3516,50,18,60
168,3400,70,12,54
176,3432,91,20,49
184,3368,162,16,48
192,3348,184,15,45
200,3447,205,51,43
208,3467,252,33,45
216,3377,242,34,42
224,3499,267,30,38
232,3446,292,30,32
240,3367,386,34,28
248,3433,552,23,29
256,3385,604,13,26
264,3430,703,8,24
272,3507,781,4,20
280,3335,828,0,19
288,3483,791,0,16
296,3425,691,0,13
304,2344,744,0,12
312,458,788,0,11
320,487,734,0,9
328,88,716,0,8
336,77,703,0,6
344,132,656,0,5
352,41,598,0,4
360,39,485,0,2
368,27,459,0,2
376,34,407,0,2
384,43,381,0,2
392,58,361,0,2
400,47,370,0,2
408,47,346,0,1
416,76,349,0,1
424,32,363,0,1
432,32,370,0,1
440,25,373,0,1
448,22,376,0,1
456,31,380,0,1
464,35,377,0,1
472,24,364,0,1
480,39,354,0,1
488,45,350,0,1
496,30,344,0,1
504,40,334,0,1
512,28,335,0,1
520,39,337,0,1
528,39,336,0,1
536,45,367,0,1
544,26,363,0,0
552,35,341,0,0
560,53,328,0,0
568,88,316,0,0
576,128,320,0,0
584,100,351,0,0
592,81,352,0,0
600,105,368,0,0
608,62,374,0,0
616,23,390,0,0
624,24,397,0,0
632,23,390,0,0
640,25,357,0,0
648,38,326,0,0
656,50,315,0,0
664,29,306,0,0
672,41,302,0,0
680,46,292,0,0
688,39,289,0,0
696,41,298,0,0
704,26,305,0,0
712,25,293,0,0
720,35,284,0,0
728,39,295,0,0
736,41,297,0,0
744,28,307,0,0
752,37,299,0,0
760,60,287,0,0
768,38,295,0,0
776,41,299,0,0
784,36,296,0,0
792,37,300,0,0
800,32,302,0,0
