Time,Grass,Mice,Rabbits,Hawks
8,2649,580,431,123
16,3464,638,405,156
24,3451,479,288,186
32,3334,210,187,195
40,3394,104,127,199
48,3459,52,117,188
56,3399,26,88,172
64,3362,11,65,161
72,3553,12,49,150
80,3521,8,36,139
88,3440,18,31,131
96,3410,10,24,116
104,3544,16,29,104
112,3492,36,71,94
120,3522,46,80,88
128,3423,44,67,85
136,3509,54,70,80
144,3409,62,65,73
152,3537,43,60,73
160,3481,33,45,73
168,3386,36,30,68
176,3476,55,24,61
184,3399,52,17,63
192,3482,66,14,59
200,3469,92,22,56
208,3359,78,11,58
216,3439,91,12,53
224,3513,110,10,52
232,3372,134,6,51
240,3515,183,3,48
248,3436,332,3,43
256,3443,568,13,37
264,3458,819,23,27
272,3423,859,19,23
280,3530,869,18,22
288,3378,833,18,18
296,3523,795,17,15
304,3376,791,13,12
312,3347,767,10,10
320,3139,685,8,7
328,1863,720,7,5
336,1160,796,7,2
344,645,856,7,2
352,21,808,8,2
360,21,653,9,1
368,27,549,7,0
376,23,515,9,0
384,24,469,8,0
392,27,420,8,0
400,25,373,8,0
408,18,335,7,0
416,25,321,7,0
424,37,322,10,0
432,35,341,9,0
440,53,338,11,0
448,58,325,11,0
456,57,320,12,0
464,108,328,13,0
472,181,337,18,0
480,23,360,19,0
488,30,349,25,0
496,35,348,25,0
504,41,354,24,0
512,43,359,29,0
520,44,364,30,0
528,28,361,28,0
536,25,327,26,0
544,34,326,25,0
552,35,321,30,0
560,34,316,32,0
568,42,317,23,0
576,39,319,21,0
584,48,306,22,0
592,36,300,23,0
600,34,300,20,0
608,28,302,19,0
616,41,285,22,0
624,36,286,24,0
632,34,288,19,0
640,59,291,21,0
648,95,285,18,0
656,44,327,22,0
664,31,317,25,0
672,37,313,24,0
680,29,304,24,0
688,43,291,21,0
696,28,296,27,0
704,34,299,29,0
712,31,279,26,0
720,33,256,20,0
728,31,261,20,0
736,37,257,20,0
744,40,261,26,0
752,53,263,20,0
760,54,275,17,0
768,36,283,15,0
776,33,274,17,0
784,45,263,16,0
792,31,271,17,0
800,36,259,15,0
