Time,Grass,Mice,Rabbits,Hawks
8,2505,608,473,120
16,3335,605,350,159
24,3368,448,231,195
32,3359,185,136,208
40,3350,90,111,201
48,3470,31,90,190
56,3396,15,69,179
64,3342,11,48,167
72,3537,4,29,160
80,3519,2,24,150
88,3502,4,11,141
96,3501,1,9,129
104,3501,1,5,110
112,3490,0,4,95
120,3486,0,4,80
128,3472,0,4,74
136,3457,0,5,71
144,3456,0,3,63
152,3450,0,5,60
160,3450,0,3,55
168,3450,0,3,52
176,3450,0,3,52
184,3438,0,5,50
192,3438,0,2,47
200,3438,0,2,43
208,3437,0,1,42
216,3437,0,1,37
224,3437,0,0,34
232,3437,0,0,33
240,3437,0,0,32
248,3437,0,0,31
256,3437,0,0,29
264,3437,0,0,25
272,3437,0,0,22
280,3437,0,0,21
288,3437,0,0,19
296,3437,0,0,19
304,3437,0,0,19
312,3437,0,0,16
320,3437,0,0,15
328,3437,0,0,14
336,3437,0,0,13
344,3437,0,0,13
352,3437,0,0,12
360,3437,0,0,10
368,3437,0,0,9
376,3437,0,0,8
384,3437,0,0,8
392,3437,0,0,8
400,3437,0,0,8
408,3437,0,0,6
416,3437,0,0,5
424,3437,0,0,5
432,3437,0,0,5
440,3437,0,0,4
448,3437,0,0,4
456,3437,0,0,4
464,3437,0,0,3
472,3437,0,0,3
480,3437,0,0,3
488,3437,0,0,3
496,3437,0,0,3
504,3437,0,0,3
512,3437,0,0,3
520,3437,0,0,3
528,3437,0,0,3
536,3437,0,0,3
544,3437,0,0,3
552,3437,0,0,2
560,3437,0,0,2
568,3437,0,0,1
576,3437,0,0,0
584,3437,0,0,0
592,3437,0,0,0
600,3437,0,0,0
608,3437,0,0,0
616,3437,0,0,0
624,3437,0,0,0
632,3437,0,0,0
640,3437,0,0,0
648,3437,0,0,0
656,3437,0,0,0
664,3437,0,0,0
672,3437,0,0,0
680,3437,0,0,0
688,3437,0,0,0
696,3437,0,0,0
704,3437,0,0,0
712,3437,0,0,0
720,3437,0,0,0
728,3437,0,0,0
736,3437,0,0,0
744,3437,0,0,0
752,3437,0,0,0
760,3437,0,0,0
768,3437,0,0,0
776,3437,0,0,0
784,3437,0,0,0
792,3437,0,0,0
800,3437,0,0,0
