Time,Grass,Mice,Rabbits,Hawks
8,2677,598,379,126
16,3440,601,322,156
24,3388,422,190,188
32,3442,269,118,195
40,3464,118,115,182
48,3482,85,88,178
56,3527,32,54,167
64,3396,34,42,153
72,3533,27,35,138
80,3418,41,28,125
88,3467,58,26,107
96,3549,59,25,101
104,3450,101,26,94
112,3403,162,29,87
120,3500,200,24,84
128,3534,209,26,77
136,3395,205,25,66
144,3376,179,18,66
152,3440,173,12,61
160,3377,181,18,47
168,3424,177,15,42
176,3357,202,10,41
184,3498,226,11,36
192,3501,280,13,33
200,3517,388,23,31
208,3379,502,10,28
216,3504,602,8,25
224,3375,513,8,22
232,3418,477,5,17
240,3357,483,5,16
248,867,614,0,12
256,209,648,0,7
264,274,562,0,5
272,363,572,0,4
280,610,580,0,3
288,641,643,0,2
296,25,741,0,2
304,18,694,0,2
312,17,638,0,2
320,23,601,0,1
328,17,545,0,1
336,22,493,0,1
344,24,419,0,0
352,26,323,0,0
360,30,312,0,0
368,32,319,0,0
376,36,325,0,0
384,29,321,0,0
392,27,324,0,0
400,26,335,0,0
408,23,330,0,0
416,21,317,0,0
424,20,297,0,0
432,28,288,0,0
440,33,296,0,0
448,44,292,0,0
456,29,290,0,0
464,34,294,0,0
472,23,317,0,0
480,40,316,0,0
488,28,317,0,0
496,40,310,0,0
504,60,313,0,0
512,40,326,0,0
520,27,328,0,0
528,26,300,0,0
536,33,286,0,0
544,28,272,0,0
552,26,263,0,0
560,40,249,0,0
568,36,254,0,0
576,47,245,0,0
584,43,261,0,0
592,57,263,0,0
600,29,291,0,0
608,27,293,0,0
616,34,295,0,0
624,42,285,0,0
632,47,297,0,0
640,35,295,0,0
648,38,304,0,0
656,31,296,0,0
664,25,277,0,0
672,25,288,0,0
680,26,276,0,0
688,28,262,0,0
696,41,254,0,0
704,40,243,0,0
712,48,242,0,0
720,57,245,0,0
728,26,274,0,0
736,27,275,0,0
744,34,264,0,0
752,51,270,0,0
760,58,276,0,0
768,31,284,0,0
776,34,285,0,0
784,50,263,0,0
792,25,263,0,0
800,48,265,0,0
