Time,Grass,Mice,Rabbits,Hawks
8,2702,641,438,121
16,3492,700,386,154
24,3537,513,295,187
32,3509,214,206,196
40,3358,117,157,199
48,3340,58,121,197
56,3503,17,92,188
64,3451,17,54,175
72,3392,13,41,167
80,3549,12,36,151
88,3515,8,31,136
96,3447,14,27,123
104,3390,19,18,109
112,3546,28,15,99
120,3364,28,21,87
128,3539,17,18,76
136,3498,20,17,70
144,3401,19,16,63
152,3525,32,14,58
160,3520,44,19,60
168,3394,54,46,53
176,3402,65,112,49
184,3422,66,149,46
192,3429,124,165,43
200,3343,190,172,39
208,3472,229,178,37
216,3537,308,128,39
224,3521,294,106,39
232,3459,340,96,40
240,3544,375,102,41
248,3526,364,74,42
256,3489,342,65,42
264,3489,320,45,40
272,3403,256,53,40
280,3468,191,33,39
288,3516,164,32,35
296,3561,155,36,31
304,3485,196,35,34
312,3454,206,72,33
320,3357,190,55,40
328,3504,166,46,37
336,3507,124,26,37
344,3390,114,41,36
352,3498,103,89,37
360,3454,120,24,50
368,3375,123,8,48
376,3369,85,7,45
384,3362,54,7,44
392,3350,40,3,43
400,3512,31,3,41
408,3481,30,3,40
416,3479,20,2,37
424,3479,18,1,35
432,3479,13,1,33
440,3478,11,1,32
448,3449,10,1,27
456,3386,7,1,24
464,3373,9,1,22
472,3485,21,2,22
480,3540,58,17,21
488,3481,164,62,20
496,3491,195,66,19
504,2398,283,91,18
512,1324,377,105,19
520,2690,452,105,17
528,3382,568,59,20
536,3398,580,38,22
544,3491,534,27,23
552,3401,558,38,23
560,3361,557,35,22
568,3408,596,36,17
576,3456,626,39,17
584,3365,673,41,17
592,3375,750,49,17
600,1471,843,53,17
608,240,764,61,17
616,456,551,51,18
624,596,476,75,18
632,294,517,90,18
640,440,473,79,20
648,818,414,60,21
656,436,433,84,19
664,125,467,79,19
672,92,426,62,18
680,105,370,36,21
688,117,359,28,23
696,181,331,24,22
704,258,312,30,19
712,616,274,29,17
720,1543,269,18,15
728,3358,295,16,14
736,3434,321,19,14
744,3430,318,22,14
752,3345,334,13,13
760,3511,334,12,12
768,678,470,11,11
776,125,472,11,8
784,136,458,14,7
792,111,502,17,6
800,110,534,17,6
